SectorName,ID64X,ID64Y,ID64Z,MaxYCoord,MaxZCoord,MaxXCoord
Aicods,33,32,7,1255,-13865,-6465
Aicond,26,32,7,1255,-13865,-15425
Aicong,28,32,7,1255,-13865,-12865
Aiconk,30,32,7,1255,-13865,-10305
Aiconn,32,32,7,1255,-13865,-7745
Aicons,36,32,7,1255,-13865,-2625
Aicosh,29,32,7,1255,-13865,-11585
Aicosp,35,32,7,1255,-13865,-3905
Aidoct,38,32,7,1255,-13865,-65
Aidocy,52,32,7,1255,-13865,17855
Aidohs,40,32,7,1255,-13865,2495
Aidoms,46,32,7,1255,-13865,10175
Aidomt,49,32,7,1255,-13865,14015
Aidorn,37,32,7,1255,-13865,-1345
Aidorr,48,32,7,1255,-13865,12735
Aidow,47,32,7,1255,-13865,11455
Aidown,45,32,7,1255,-13865,8895
Aidoy,53,32,7,1255,-13865,19135
Aidoz,55,32,7,1255,-13865,21695
Aimbailt,48,33,55,2535,47575,12735
Aimbairps,51,33,55,2535,47575,16575
Ainaihm,9,31,35,-25,21975,-37185
Ainaihn,11,31,35,-25,21975,-34625
Ainair,15,31,35,-25,21975,-29505
Ainairk,12,31,35,-25,21975,-33345
Ainais,17,31,35,-25,21975,-26945
Ainaiwyg,19,31,35,-25,21975,-24385
Aiphairds,29,32,45,1255,34775,-11585
Aiphairns,31,32,45,1255,34775,-9025
Aiphairsch,21,32,45,1255,34775,-21825
Aiphaisty,25,32,45,1255,34775,-16705
Aiphaitl,27,32,45,1255,34775,-14145
Aiphaitls,28,32,45,1255,34775,-12865
Aiphaits,32,32,45,1255,34775,-7745
Aiphaitt,35,32,45,1255,34775,-3905
Aisail,42,30,30,-1305,15575,5055
Aisaills,39,30,30,-1305,15575,1215
Aishaidy,48,32,45,1255,34775,12735
Aishaind,36,32,45,1255,34775,-2625
Aishaink,40,32,45,1255,34775,2495
Aishainn,42,32,45,1255,34775,5055
Aishaint,47,32,45,1255,34775,11455
Aishairrs,51,32,45,1255,34775,16575
Aishaish,39,32,45,1255,34775,1215
Aishaism,44,32,45,1255,34775,7615
Aishaisp,45,32,45,1255,34775,8895
Aishaist,50,32,45,1255,34775,15295
Aitaib,57,30,30,-1305,15575,24255
Aitolz,54,30,30,-1305,15575,20415
Aitoqs,50,30,30,-1305,15575,15295
Aitords,57,33,17,2535,-1065,24255
Aitorks,49,30,30,-1305,15575,14015
Aitorps,51,30,30,-1305,15575,16575
Aitotl,55,33,17,2535,-1065,21695
Allaig,20,30,26,-1305,10455,-23105
Allairb,21,30,26,-1305,10455,-21825
Alloff,25,33,13,2535,-6185,-16705
Alloppy,24,33,13,2535,-6185,-17985
Angonn,57,32,8,1255,-12585,24255
Angosk,56,32,8,1255,-12585,22975
Aochou,60,31,30,-25,15575,28095
Aochuae,61,31,30,-25,15575,29375
Aohong,25,30,58,-1305,51415,-16705
Aohory,21,30,58,-1305,51415,-21825
Aohosc,24,30,58,-1305,51415,-17985
Aombaea,28,30,20,-1305,2775,-12865
Aowheou,12,32,35,1255,21975,-33345
Aowriae,39,33,45,2535,34775,1215
Aowroae,40,33,45,2535,34775,2495
Assaibb,55,32,46,1255,36055,21695
Assaify,49,32,46,1255,36055,14015
Assaiky,51,32,46,1255,36055,16575
Assaild,60,32,46,1255,36055,28095
Assaips,47,32,46,1255,36055,11455
Assaipy,54,32,46,1255,36055,20415
Assairshch,52,32,46,1255,36055,17855
Assairts,50,32,46,1255,36055,15295
Assaizz,58,32,46,1255,36055,25535
Assonz,35,33,13,2535,-6185,-3905
Assorphs,39,33,13,2535,-6185,1215
Assorsch,38,33,13,2535,-6185,-65
Assosy,36,33,13,2535,-6185,-2625
Athaict,50,31,36,-25,23255,15295
Athaihn,40,31,36,-25,23255,2495
Athaip,39,31,36,-25,23255,1215
Athair,44,31,36,-25,23255,7615
Athairk,41,31,36,-25,23255,3775
Athaiwyg,48,31,36,-25,23255,12735
Aucobs,63,31,20,-25,2775,31935
Aucofs,36,31,20,-25,2775,-2625
Aucoks,39,31,20,-25,2775,1215
Aucold,54,31,20,-25,2775,20415
Aucolf,55,31,20,-25,2775,21695
Aucoll,60,31,20,-25,2775,28095
Aucomly,47,31,20,-25,2775,11455
Auconds,50,31,20,-25,2775,15295
Auconns,53,31,20,-25,2775,19135
Aucopp,37,31,20,-25,2775,-1345
Aucops,41,31,20,-25,2775,3775
Aucosly,58,31,20,-25,2775,25535
Aucoths,35,31,20,-25,2775,-3905
Aucownst,33,31,20,-25,2775,-6465
Aucowry,51,31,20,-25,2775,16575
Aumaift,21,30,48,-1305,38615,-21825
Aumaimt,20,33,35,2535,21975,-23105
Aumaimy,29,33,35,2535,21975,-11585
Aumainks,31,33,35,2535,21975,-9025
Aumaipt,25,30,48,-1305,38615,-16705
Aumairp,13,33,35,2535,21975,-32065
Aumairr,19,33,35,2535,21975,-24385
Aumairt,25,33,35,2535,21975,-16705
Aumairts,27,30,48,-1305,38615,-14145
Aumaiv,15,33,35,2535,21975,-29505
Aumaiw,18,33,35,2535,21975,-25665
Aumaiwn,16,33,35,2535,21975,-28225
Aumaiws,27,33,35,2535,21975,-14145
Aumaiz,26,33,35,2535,21975,-15425
Aunaihm,32,33,35,2535,21975,-7745
Aunaihn,34,33,35,2535,21975,-5185
Aunair,38,33,35,2535,21975,-65
Aunairm,39,33,35,2535,21975,1215
Aunairn,43,33,35,2535,21975,6335
Aunait,45,33,35,2535,21975,8895
Aunaiwyg,42,33,35,2535,21975,5055
Auphab,52,31,58,-25,51415,17855
Auphac,55,31,58,-25,51415,21695
Auphad,56,31,58,-25,51415,22975
Auphaibs,38,31,58,-25,51415,-65
Auphaigh,31,31,58,-25,51415,-9025
Auphailf,30,31,58,-25,51415,-10305
Auphailk,34,31,58,-25,51415,-5185
Auphaill,35,31,58,-25,51415,-3905
Auphailn,37,31,58,-25,51415,-1345
Auphails,41,31,58,-25,51415,3775
Auphailz,49,31,58,-25,51415,14015
Auphainz,41,34,45,3815,34775,3775
Auphaiphs,51,31,58,-25,51415,16575
Auphaiqs,45,31,58,-25,51415,8895
Auphairks,44,31,58,-25,51415,7615
Auphairsts,39,31,58,-25,51415,1215
Auphaisly,33,31,58,-25,51415,-6465
Auphaisys,47,34,45,3815,34775,11455
Auphavsky,57,31,58,-25,51415,24255
Auq Eaec,33,29,27,-2585,11735,-6465
Auq Hypue,35,29,25,-2585,9175,-3905
Aur Eaec,37,29,27,-2585,11735,-1345
Aur Flyi,39,29,49,-2585,39895,1215
Aur Flyuae,37,29,49,-2585,39895,-1345
Aurk Hypue,34,29,25,-2585,9175,-5185
Aurk Phoe,34,29,27,-2585,11735,-5185
Aurl Flyi,38,29,49,-2585,39895,-65
Aurl Hypue,38,29,25,-2585,9175,-65
Aurl Phoe,38,29,27,-2585,11735,-65
Aurolch,28,30,10,-1305,-10025,-12865
Auronks,31,30,10,-1305,-10025,-9025
Aurows,27,30,10,-1305,-10025,-14145
Auroz,26,30,10,-1305,-10025,-15425
Ausaik,61,32,30,1255,15575,29375
Ausain,68,32,30,1255,15575,38335
Ausaing,42,29,43,-2585,32215,5055
Ausairg,66,32,30,1255,15575,35775
Ausairgh,64,32,30,1255,15575,33215
Auwyg Eaewsy,31,29,27,-2585,11735,-9025
Auzag,26,31,58,-25,51415,-15425
Auzah,28,31,58,-25,51415,-12865
Auzoky,12,32,25,1255,9175,-33345
Auzopt,9,32,25,1255,9175,-37185
Auzopy,15,32,25,1255,9175,-29505
Auzorts,11,32,25,1255,9175,-34625
Axaibb,22,33,51,2535,42455,-20545
Axaimly,20,33,51,2535,42455,-23105
Axainns,26,33,51,2535,42455,-15425
Axaipy,21,33,51,2535,42455,-21825
Ayairdy,28,33,51,2535,42455,-12865
Ayaitch,32,33,51,2535,42455,-7745
Ayaitz,31,33,51,2535,42455,-9025
Baukaae,42,32,41,1255,29655,5055
Baukeau,43,32,41,1255,29655,6335
Baukee,44,32,41,1255,29655,7615
Baukoa,41,32,41,1255,29655,3775
Baulaa,49,32,41,1255,29655,14015
Baulae,52,32,41,1255,29655,17855
Baulai,57,32,41,1255,29655,24255
Bauleia,51,32,41,1255,29655,16575
Bauliae,59,32,41,1255,29655,26815
Bauloae,60,32,41,1255,29655,28095
Bauloe,45,32,41,1255,29655,8895
Bauloo,54,32,41,1255,29655,20415
Baulou,61,32,41,1255,29655,29375
Baulue,56,32,41,1255,29655,22975
Bengoa,65,30,26,-1305,10455,34495
Bla Blaa,20,30,60,-1305,53975,-23105
Bla Blae,30,30,60,-1305,53975,-10305
Bla Blai,20,31,60,-25,53975,-23105
Bla Bloae,30,31,60,-25,53975,-10305
Bla Blooe,52,30,60,-1305,53975,17855
Bla Blou,52,31,60,-25,53975,17855
Bla Blua,22,30,60,-1305,53975,-20545
Bla Byoe,54,31,62,-25,56535,20415
Bla Dryaa,30,30,22,-1305,5335,-10305
Bla Dryai,30,31,22,-25,5335,-10305
Bla Drye,52,31,22,-25,5335,17855
Bla Dryiae,54,31,22,-25,5335,20415
Bla Dryoae,60,31,22,-25,5335,28095
Bla Dryoea,22,30,22,-1305,5335,-20545
Bla Dryooe,62,30,22,-1305,5335,30655
Bla Dryou,62,31,22,-25,5335,30655
Bla Eaeb,22,31,30,-25,15575,-20545
Bla Eohm,30,31,20,-25,2775,-10305
Bla Eok,30,30,20,-1305,2775,-10305
Bla Eom,22,31,20,-25,2775,-20545
Bla Eop,52,31,20,-25,2775,17855
Bla Eoq,62,31,20,-25,2775,30655
Bla Eorgh,60,30,20,-1305,2775,28095
Bla Flye,20,31,52,-25,43735,-23105
Bla Flyoo,52,30,52,-1305,43735,17855
Bla Flyuae,52,31,52,-25,43735,17855
Bla Flyue,60,30,52,-1305,43735,28095
Bla Graae,28,31,62,-25,56535,-12865
Bla Greau,30,31,62,-25,56535,-10305
Bla Gree,52,31,62,-25,56535,17855
Bla Gria,30,30,62,-1305,56535,-10305
Bla Hypae,22,31,28,-25,13015,-20545
Bla Hypai,60,31,28,-25,13015,28095
Bla Hypio,30,30,28,-1305,13015,-10305
Bla Phoea,62,31,30,-25,15575,30655
Bla Phrio,20,30,30,-1305,15575,-23105
Bla Phroea,22,30,30,-1305,15575,-20545
Bla Phroi,28,30,30,-1305,15575,-12865
Bla Prou,30,31,54,-25,46295,-10305
Bla Pruae,52,31,54,-25,46295,17855
Bla Prue,60,30,54,-1305,46295,28095
Bla Schee,22,30,28,-1305,13015,-20545
Blaa Blao,42,31,60,-25,53975,5055
Blaa Bli,40,31,60,-25,53975,2495
Blaa Blooe,32,30,60,-1305,53975,-7745
Blaa Blou,32,31,60,-25,53975,-7745
Blaa Byio,40,31,62,-25,56535,2495
Blaa Byoea,42,31,62,-25,56535,5055
Blaa Dryae,40,30,22,-1305,5335,2495
Blaa Drye,32,31,22,-25,5335,-7745
Blaa Dryeia,34,30,22,-1305,5335,-5185
Blaa Dryooe,42,30,22,-1305,5335,5055
Blaa Dryou,42,31,22,-25,5335,5055
Blaa Dryua,32,30,22,-1305,5335,-7745
Blaa Eaec,32,31,30,-25,15575,-7745
Blaa Eaewsy,10,31,30,-25,15575,-35905
Blaa Eock,34,30,20,-1305,2775,-5185
Blaa Eohn,34,31,20,-25,2775,-5185
Blaa Eolls,32,30,20,-1305,2775,-7745
Blaa Eop,32,31,20,-25,2775,-7745
Blaa Eoq,42,31,20,-25,2775,5055
Blaa Eork,40,31,20,-25,2775,2495
Blaa Flya,34,30,52,-1305,43735,-5185
Blaa Flyao,40,31,52,-25,43735,2495
Blaa Flyi,34,31,52,-25,43735,-5185
Blaa Flyou,10,31,52,-25,43735,-35905
Blaa Flyuae,32,31,52,-25,43735,-7745
Blaa Gree,32,31,62,-25,56535,-7745
Blaa Greou,34,30,62,-1305,56535,-5185
Blaa Grie,32,30,62,-1305,56535,-7745
Blaa Hypa,32,31,28,-25,13015,-7745
Blaa Hypai,40,31,28,-25,13015,2495
Blaa Hype,42,31,28,-25,13015,5055
Blaa Hypoo,10,31,28,-25,13015,-35905
Blaa Hypua,42,30,28,-1305,13015,5055
Blaa Phoe,34,31,30,-25,15575,-5185
Blaa Phrae,40,30,30,-1305,15575,2495
Blaa Phreia,34,30,30,-1305,15575,-5185
Blaa Phrua,32,30,30,-1305,15575,-7745
Blaa Ploe,42,31,52,-25,43735,5055
Blaa Prau,42,31,54,-25,46295,5055
Blaa Pri,34,31,54,-25,46295,-5185
Blaa Proo,32,30,54,-1305,46295,-7745
Blaa Prou,10,31,54,-25,46295,-35905
Blae Bla,45,30,60,-1305,53975,8895
Blae Bliae,13,31,60,-25,53975,-32065
Blae Bloae,15,31,60,-25,53975,-29505
Blae Bloo,39,30,60,-1305,53975,1215
Blae Dryae,45,30,22,-1305,5335,8895
Blae Drye,37,31,22,-25,5335,-1345
Blae Dryeia,39,30,22,-1305,5335,1215
Blae Dryoae,45,31,22,-25,5335,8895
Blae Dryua,37,30,22,-1305,5335,-1345
Blae Dryue,13,31,22,-25,5335,-32065
Blae Eaec,37,31,30,-25,15575,-1345
Blae Eock,39,30,20,-1305,2775,1215
Blae Eohm,15,31,20,-25,2775,-29505
Blae Eolls,37,30,20,-1305,2775,-1345
Blae Eorgh,45,30,20,-1305,2775,8895
Blae Eork,45,31,20,-25,2775,8895
Blae Flyao,45,31,52,-25,43735,8895
Blae Flyi,39,31,52,-25,43735,1215
Blae Flyiae,7,31,52,-25,43735,-39745
Blae Flyoae,13,31,52,-25,43735,-32065
Blae Flyoo,37,30,52,-1305,43735,-1345
Blae Flyuae,37,31,52,-25,43735,-1345
Blae Grie,37,30,62,-1305,56535,-1345
Blae Hypai,45,31,28,-25,13015,8895
Blae Hype,47,31,28,-25,13015,11455
Blae Hypio,15,30,28,-1305,13015,-29505
Blae Hypoe,13,30,28,-1305,13015,-32065
Blae Hypoea,37,30,28,-1305,13015,-1345
Blae Hypoi,39,30,28,-1305,13015,1215
Blae Hypoo,15,31,28,-25,13015,-29505
Blae Hypua,47,30,28,-1305,13015,11455
Blae Hypue,39,31,28,-25,13015,1215
Blae Phio,45,31,30,-25,15575,8895
Blae Phoe,39,31,30,-25,15575,1215
Blae Phoea,47,31,30,-25,15575,11455
Blae Phrae,45,30,30,-1305,15575,8895
Blae Phrooe,47,30,30,-1305,15575,11455
Blae Phrua,37,30,30,-1305,15575,-1345
Blae Prao,45,31,54,-25,46295,8895
Blaea Aec,56,32,28,1255,13015,22975
Blaea Aef,18,33,28,2535,13015,-25665
Blaea Aeg,48,33,28,2535,13015,12735
Blaea Aerb,50,33,28,2535,13015,15295
Blaea Aesms,24,33,28,2535,13015,-17985
Blaea Aevsky,16,33,28,2535,13015,-28225
Blaea Aewsy,50,32,28,1255,13015,15295
Blaea Aick,16,32,30,1255,15575,-28225
Blaea Aics,58,33,30,2535,15575,25535
Blaea Aihm,56,32,30,1255,15575,22975
Blaea Ain,50,32,30,1255,15575,15295
Blaea Aip,58,32,30,1255,15575,25535
Blaea Aiq,24,33,30,2535,15575,-17985
Blaea Airg,26,32,30,1255,15575,-15425
Blaea Ais,56,33,30,2535,15575,22975
Blaea Aub,50,32,54,1255,46295,15295
Blaea Audst,50,33,54,2535,46295,15295
Blaea Auscs,56,32,54,1255,46295,22975
Blaea Ausms,48,33,54,2535,46295,12735
Blaea Bra,18,32,62,1255,56535,-25665
Blaea Brai,26,32,62,1255,56535,-15425
Blaea Brau,26,33,62,2535,56535,-15425
Blaea Briae,50,32,62,1255,56535,15295
Blaea Brou,58,32,62,1255,56535,25535
Blaea Chraea,16,32,60,1255,53975,-28225
Blaea Chrea,50,32,60,1255,53975,15295
Blaea Euhm,18,32,22,1255,5335,-25665
Blaea Euhn,26,32,22,1255,5335,-15425
Blaea Eun,16,32,22,1255,5335,-28225
Blaea Euq,50,32,22,1255,5335,15295
Blaea Eurk,48,32,22,1255,5335,12735
Blaea Eurl,56,32,22,1255,5335,22975
Blaea Flaae,16,32,52,1255,43735,-28225
Blaea Fleau,18,32,52,1255,43735,-25665
Blaea Flee,24,32,52,1255,43735,-17985
Blaea Freau,26,32,54,1255,46295,-15425
Blaea Free,48,32,54,1255,46295,12735
Blaea Froa,18,32,54,1255,46295,-25665
Blaea Fruia,16,32,54,1255,46295,-28225
Blaea Phlai,24,32,28,1255,13015,-17985
Blaea Phyloe,26,33,60,2535,53975,-15425
Blaea Scraa,48,33,52,2535,43735,12735
Blaea Scroea,24,33,52,2535,43735,-17985
Blaea Scroi,26,33,52,2535,43735,-15425
Blaea Tha,24,33,20,2535,2775,-17985
Blaea Thae,58,32,20,1255,2775,25535
Blaea Thio,18,32,20,1255,2775,-25665
Blaea Thoea,24,32,20,1255,2775,-17985
Blaea Thooe,16,33,20,2535,2775,-28225
Blaea Thua,50,32,20,1255,2775,15295
Blaea Troe,16,33,22,2535,5335,-28225
Blaea Troi,26,33,22,2535,5335,-15425
Blaed,39,31,10,-25,-10025,1215
Blaef,41,31,10,-25,-10025,3775
Blaeg,44,31,10,-25,-10025,7615
Blaeh,46,31,10,-25,-10025,10175
Blaei Euhm,66,32,22,1255,5335,35775
Blaei Eun,64,32,22,1255,5335,33215
Blaei Flaae,64,32,52,1255,43735,33215
Blaei Phlue,66,32,28,1255,13015,35775
Blaesms,42,31,10,-25,-10025,5055
Blai Drya,66,31,22,-25,5335,35775
Blai Dryoo,64,31,22,-25,5335,33215
Blai Eorg,64,31,20,-25,2775,33215
Blai Hypeia,64,31,28,-25,13015,33215
Blaichau,15,32,53,1255,45015,-29505
Blaiche,8,32,53,1255,45015,-38465
Blaicheae,17,32,53,1255,45015,-26945
Blaicho,16,32,53,1255,45015,-28225
Blaichoae,10,32,53,1255,45015,-35905
Blaichuae,12,32,53,1255,45015,-33345
Blau Aec,40,32,28,1255,13015,2495
Blau Aed,42,32,28,1255,13015,5055
Blau Aescs,32,32,28,1255,13015,-7745
Blau Aihm,40,32,30,1255,15575,2495
Blau Airg,10,32,30,1255,15575,-35905
Blau Ais,40,33,30,2535,15575,2495
Blau Aod,42,32,52,1255,43735,5055
Blau Audst,34,33,54,2535,46295,-5185
Blau Auscs,40,32,54,1255,46295,2495
Blau Auwsy,42,32,54,1255,46295,5055
Blau Bre,32,32,62,1255,56535,-7745
Blau Briae,34,32,62,1255,56535,-5185
Blau Broae,40,32,62,1255,56535,2495
Blau Bru,40,33,62,2535,56535,2495
Blau Chraei,32,32,60,1255,53975,-7745
Blau Chrea,34,32,60,1255,53975,-5185
Blau Chroa,42,32,60,1255,53975,5055
Blau Euq,34,32,22,1255,5335,-5185
Blau Eur,42,32,22,1255,5335,5055
Blau Eurk,32,32,22,1255,5335,-7745
Blau Fraae,8,32,54,1255,46295,-38465
Blau Freau,10,32,54,1255,46295,-35905
Blau Free,32,32,54,1255,46295,-7745
Blau Phlai,8,32,28,1255,13015,-38465
Blau Phyloi,40,33,60,2535,53975,2495
Blau Schoe,42,33,28,2535,13015,5055
Blau Scraa,32,33,52,2535,43735,-7745
Blau Scrae,42,33,52,2535,43735,5055
Blau Screia,40,33,52,2535,43735,2495
Blau Thaa,32,32,20,1255,2775,-7745
Blau Thai,32,33,20,2535,2775,-7745
Blau The,34,33,20,2535,2775,-5185
Blau Thiae,40,33,20,2535,2775,2495
Blau Thua,34,32,20,1255,2775,-5185
Blau Traa,32,33,22,2535,5335,-7745
Blau Treia,40,33,22,2535,5335,2495
Blau Trua,34,33,22,2535,5335,-5185
Ble Eaeb,67,31,30,-25,15575,37055
Ble Hypae,67,31,28,-25,13015,37055
Ble Hypeia,65,31,28,-25,13015,34495
Ble Phroo,65,31,30,-25,15575,34495
Blea Aick,65,32,30,1255,15575,34495
Blea Airgh,67,32,30,1255,15575,37055
Bleae Aeh,44,33,28,2535,13015,7615
Bleae Aerb,38,33,28,2535,13015,-65
Bleae Aescs,36,32,28,1255,13015,-2625
Bleae Aewsy,38,32,28,1255,13015,-65
Bleae Aihm,44,32,30,1255,15575,7615
Bleae Ail,12,32,30,1255,15575,-33345
Bleae Aim,36,32,30,1255,15575,-2625
Bleae Air,36,33,30,2535,15575,-2625
Bleae Airg,14,32,30,1255,15575,-30785
Bleae Ais,44,33,30,2535,15575,7615
Bleae Aob,14,32,52,1255,43735,-30785
Bleae Aoc,44,32,52,1255,43735,7615
Bleae Aod,46,32,52,1255,43735,10175
Bleae Aub,38,32,54,1255,46295,-65
Bleae Aug,44,33,54,2535,46295,7615
Bleae Auvsky,12,33,54,2535,46295,-33345
Bleae Auwsy,46,32,54,1255,46295,10175
Bleae Briae,38,32,62,1255,56535,-65
Bleae Bro,36,33,62,2535,56535,-2625
Bleae Broae,44,32,62,1255,56535,7615
Bleae Brou,46,32,62,1255,56535,10175
Bleae Euhn,14,32,22,1255,5335,-30785
Bleae Eurk,36,32,22,1255,5335,-2625
Bleae Eurl,44,32,22,1255,5335,7615
Bleae Flee,12,32,52,1255,43735,-33345
Bleae Freau,14,32,54,1255,46295,-30785
Bleae Free,36,32,54,1255,46295,-2625
Bleae Phlai,12,32,28,1255,13015,-33345
Bleae Phylio,36,33,60,2535,53975,-2625
Bleae Phyloea,38,33,60,2535,53975,-65
Bleae Thaa,36,32,20,1255,2775,-2625
Bleae Thoae,46,33,20,2535,2775,10175
Bleae Thoea,12,32,20,1255,2775,-33345
Bleae Thoi,14,32,20,1255,2775,-30785
Bleae Thua,38,32,20,1255,2775,-65
Bleae Traa,36,33,22,2535,5335,-2625
Bleae Trae,46,33,22,2535,5335,10175
Bleae Treia,44,33,22,2535,5335,7615
Bleeraa,61,31,48,-25,38615,29375
Bleerae,64,31,48,-25,38615,33215
Bleereia,63,31,48,-25,38615,31935
Bleeroi,60,31,48,-25,38615,28095
Bleerua,62,31,48,-25,38615,30655
Bleethai,34,31,48,-25,38615,-5185
Bleethau,42,31,48,-25,38615,5055
Bleethea,51,31,48,-25,38615,16575
Bleetheau,55,31,48,-25,38615,21695
Bleetheou,49,31,48,-25,38615,14015
Bleethia,47,31,48,-25,38615,11455
Bleetho,43,31,48,-25,38615,6335
Bleethoae,37,31,48,-25,38615,-1345
Bleethu,45,31,48,-25,38615,8895
Bleethuae,39,31,48,-25,38615,1215
Bleethue,33,31,48,-25,38615,-6465
Bleethuia,52,31,48,-25,38615,17855
Bleia Bla,44,30,60,-1305,53975,7615
Bleia Blao,46,31,60,-25,53975,10175
Bleia Blooe,36,30,60,-1305,53975,-2625
Bleia Byio,44,31,62,-25,56535,7615
Bleia Byoe,38,31,62,-25,56535,-65
Bleia Byoea,46,31,62,-25,56535,10175
Bleia Dryiae,38,31,22,-25,5335,-65
Bleia Dryoae,44,31,22,-25,5335,7615
Bleia Dryooe,46,30,22,-1305,5335,10175
Bleia Dryue,12,31,22,-25,5335,-33345
Bleia Eaescs,12,31,30,-25,15575,-33345
Bleia Eohn,38,31,20,-25,2775,-65
Bleia Eol,46,30,20,-1305,2775,10175
Bleia Eolls,36,30,20,-1305,2775,-2625
Bleia Eon,12,31,20,-25,2775,-33345
Bleia Eoq,46,31,20,-25,2775,10175
Bleia Eork,44,31,20,-25,2775,7615
Bleia Flya,38,30,52,-1305,43735,-65
Bleia Flyai,46,30,52,-1305,43735,10175
Bleia Flyoo,36,30,52,-1305,43735,-2625
Bleia Flyuae,36,31,52,-25,43735,-2625
Bleia Grie,36,30,62,-1305,56535,-2625
Bleia Hypai,44,31,28,-25,13015,7615
Bleia Hype,46,31,28,-25,13015,10175
Bleia Hypoea,36,30,28,-1305,13015,-2625
Bleia Hypoi,38,30,28,-1305,13015,-65
Bleia Phrae,44,30,30,-1305,15575,7615
Bleia Phreia,38,30,30,-1305,15575,-65
Bleia Phroi,12,30,30,-1305,15575,-33345
Bleia Phrooe,46,30,30,-1305,15575,10175
Bleia Phrua,36,30,30,-1305,15575,-2625
Bleia Ploe,46,31,52,-25,43735,10175
Bleia Prao,44,31,54,-25,46295,7615
Bleia Prau,46,31,54,-25,46295,10175
Bleia Proo,36,30,54,-1305,46295,-2625
Bleia Prooe,14,30,54,-1305,46295,-30785
Bleia Prou,14,31,54,-25,46295,-30785
Bleia Prue,44,30,54,-1305,46295,7615
Bleou Aec,61,32,28,1255,13015,29375
Bleou Aed,63,32,28,1255,13015,31935
Bleou Aedst,31,33,28,2535,13015,-9025
Bleou Aef,23,33,28,2535,13015,-19265
Bleou Aeg,53,33,28,2535,13015,19135
Bleou Aerb,55,33,28,2535,13015,21695
Bleou Aewsy,55,32,28,1255,13015,21695
Bleou Aick,21,32,30,1255,15575,-21825
Bleou Aihn,21,33,30,2535,15575,-21825
Bleou Ain,55,32,30,1255,15575,21695
Bleou Aiq,29,33,30,2535,15575,-11585
Bleou Air,53,33,30,2535,15575,19135
Bleou Airgh,23,32,30,1255,15575,-19265
Bleou Airl,31,33,30,2535,15575,-9025
Bleou Aoc,61,32,52,1255,43735,29375
Bleou Aowsy,55,32,52,1255,43735,21695
Bleou Aub,55,32,54,1255,46295,21695
Bleou Auf,31,33,54,2535,46295,-9025
Bleou Auvsky,29,33,54,2535,46295,-11585
Bleou Auwsy,63,32,54,1255,46295,31935
Bleou Bra,23,32,62,1255,56535,-19265
Bleou Bre,53,32,62,1255,56535,19135
Bleou Broo,21,32,62,1255,56535,-21825
Bleou Brue,29,32,62,1255,56535,-11585
Bleou Chraae,21,33,60,2535,53975,-21825
Bleou Chraea,21,32,60,1255,53975,-21825
Bleou Chreau,23,33,60,2535,53975,-19265
Bleou Chria,23,32,60,1255,53975,-19265
Bleou Euhm,23,32,22,1255,5335,-19265
Bleou Eun,21,32,22,1255,5335,-21825
Bleou Eurk,53,32,22,1255,5335,19135
Bleou Froa,23,32,54,1255,46295,-19265
